"Team","N","TotalGuar","AvgGuar","MedGuar","StdDevGuar"
"TOR",29,22136512.03,763328.001034483,125000,1883253.11609759
"NYC",56,21644204.28,386503.647857143,92606.19,1100864.6445046
"LAG",30,21267574.75,708919.158333333,115625,1671316.84764784
"SEA",32,13288443.3,415263.853125,117562.5,943014.793003371
"ORL",31,11290004.11,364193.680967742,92500,1268702.14819163
"NER",26,6516089.57,250618.829615385,106458.335,581700.979927281
"MTL",29,6301786.93,217302.997586207,1e+05,388214.837905469
"VAN",31,6261094.71,201970.797096774,112000,274056.037236623
"POR",27,6052908.41,224181.792962963,120000,268120.176858717
"SKC",26,5885126.47,226351.018076923,148375,207137.744784328
"CHI",26,5843613.53,224754.366538462,102916.665,280666.961462208
"CLB",29,5745122.37,198107.667931034,119437.5,231726.359738291
"RSL",28,5436920.18,194175.720714286,106068.335,228432.12960589
"PHI",30,5408401.13,180280.037666667,121000,174949.438009882
"SJE",29,5332505.76,183879.508965517,1e+05,249517.644671403
"HOU",28,5121708.33,182918.154642857,124083.335,171323.2991008
"COL",29,5050908.71,174169.265862069,103000,212578.758037703
"DCU",26,4286763.83,164875.531923077,113239.915,125113.117628573
"FCD",27,4098291.59,151788.577407407,130000,101037.245491611
"NONE",5,601763.04,120352.608,123000,71252.5576856601
