"Team","N","TotalGuar","AvgGuar","MedGuar","StdDevGuar"
"TOR",27,21529800.23,797400.008518519,107625,1956732.64736834
"NYC",26,21313808.21,819761.854230769,142500,1856416.06640826
"LAG",28,18124236,647294.142857143,157500,1457226.18620792
"SEA",30,12445315.02,414843.834,78706.25,890077.426226089
"ORL",30,11753267,391775.566666667,101062.5,1288603.26530622
"COL",27,8662787.67,320843.987777778,101000,579716.331388222
"POR",30,7376216.43,245873.881,136500,277060.165783155
"SJE",30,7161825.25,238727.508333333,147000,281520.558490709
"MTL",29,6962508.84,240086.511724138,117500,402110.243074137
"VAN",31,6911819.46,222961.918064516,113416.67,292479.421737541
"SKC",30,6740721.07,224690.702333333,131937,223223.356564916
"PHI",29,6402693.84,220782.546206897,125666.67,263110.518840726
"NYRB",29,6317204.24,217834.628965517,125500,198415.674976053
"RSL",29,6246490.42,215396.22137931,111000,288171.682354445
"DCU",31,6061165.77,195521.476451613,116350,182889.024581765
"NER",26,5878363.25,226090.894230769,124333.335,249667.95418324
"CLB",28,5874069.34,209788.190714286,117500,230171.568033497
"HOU",28,5104168.81,182291.743214286,120000,176207.089560327
"FCD",30,4742925.96,158097.532,131566.5,140286.89985201
"CHI",26,4303901.66,165534.679230769,111354.165,172240.479561095
"NONE",6,613500,102250,108000,38676.5383145989
"ATL",6,523619.33,87269.8883333333,74420.665,43314.9632018638
