"First","Last","Keeper","Team","Season","Min","Shots","Goals","Saves","Header%","Dist","xG","G-xG","Goals/Shot","xG/Shot","G-xG/Shot","Comp ($K)","Min/96","Shots/96","Goals/96","Saves/96","Header%/96","Dist/96","xG/96","G-xG/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Bobby","Shuttleworth","Bobby Shuttleworth","MIN",2017,3021,173,57,116,0.173410404624277,17.748312731784,57.231,-0.23134981746612,0.329479768786127,0.330817050968012,-0.00133728218188509,171.875,3021,5.49751737835154,1.81132075471698,3.68619662363456,0.173410404624277,17.748312731784,1.81867248675165,-0.00735173203467312,171.875,387,384,"Shuttleworth 2017"
"Chris","Seitz","Chris Seitz","FCD",2013,NA,35,11,24,0.142857142857143,20.9453600796571,11.204,-0.204438509945199,0.314285714285714,0.320126814569863,-0.00584110028414853,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,149,"Seitz 2013"
"Greg","Ranjitsingh","Greg Ranjitsingh","ORL",2019,200,7,3,4,0.428571428571429,11.9140972018204,3.193,-0.193101282037726,0.428571428571429,0.456157326005389,-0.0275858974339608,NA,200,3.36,1.44,1.92,0.428571428571429,11.9140972018204,1.53268861537811,-0.0926886153781083,NA,69,55,"Ranjitsingh 2019"
"Jon","Kempin","Jon Kempin","LAG",2017,602,40,13,27,0.05,17.4291214384592,13.19,-0.190386518359721,0.325,0.329759662958993,-0.00475966295899303,65.004,602,6.37873754152824,2.07308970099668,4.30564784053156,0.05,17.4291214384592,2.10345034179823,-0.0303606408015502,65.004,167,164,"Kempin 2017"
"Ryan","Meara","Ryan Meara","NYC",2015,95,7,1,6,0.142857142857143,26.1298924365811,1.165,-0.164522677713894,0.142857142857143,0.166360382530556,-0.0235032396734134,72.913,95,7.07368421052632,1.01052631578947,6.06315789473684,0.142857142857143,26.1298924365811,1.17678081116351,-0.16625449537404,72.913,23,28,"Meara 2015"
"Chris","Konopka","Chris Konopka","NYRB",2011,NA,4,2,2,0,12.70164865,2.164,-0.163888043696732,0.5,0.540972010924183,-0.0409720109241829,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,37,"Konopka 2011"
"Ryan","Meara","Ryan Meara","NYRB",2018,294,15,3,12,0,21.0273535809965,3.151,-0.15109204977913,0.2,0.210072803318609,-0.0100728033186087,125,294,4.89795918367347,0.979591836734694,3.91836734693878,0,21.0273535809965,1.02892801625441,-0.049336179519716,125,67,49,"Meara 2018"
"Chris","Seitz","Chris Seitz","FCD",2017,476,20,8,12,0.1,18.2614153594144,8.124,-0.123659992290932,0.4,0.406182999614547,-0.00618299961454661,153,476,4.03361344537815,1.61344537815126,2.42016806722689,0.1,18.2614153594144,1.63838520852926,-0.0249398303780031,153,133,121,"Seitz 2017"
"Zack","Steffen","Zack Steffen","CLB",2017,3238,148,49,99,0.162162162162162,17.4791065520516,49.12,-0.120034980130448,0.331081081081081,0.331892128244125,-0.000811047163043567,105,3238,4.38789376158122,1.45274861025324,2.93514515132798,0.162162162162162,17.4791065520516,1.45630739904031,-0.00355878878706702,105,361,360,"Steffen 2017"
"Marcus","Hahnemann","Marcus Hahnemann","SEA",2013,NA,10,4,6,0.2,14.4902714172,4.1,-0.099728682525479,0.4,0.409972868252548,-0.0099728682525479,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,68,"Hahnemann 2013"
"Adam","Grinwis","Adam Grinwis","ORL",2018,477,20,6,14,0.05,19.5267678603854,6.099,-0.0990978260209578,0.3,0.304954891301048,-0.00495489130104789,67.5,477,4.0251572327044,1.20754716981132,2.81761006289308,0.05,19.5267678603854,1.227491386369,-0.019944216557677,67.5,110,108,"Grinwis 2018"
"Andrew","Weber","Andrew Weber","POR",2014,NA,16,8,8,0.125,14.1262151411875,8.085,-0.0851379855269919,0.5,0.505321124095437,-0.005321124095437,48.50004,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,129,"Weber 2014"
"Brad","Guzan","Brad Guzan","ATL",2019,3277,132,41,91,0.159090909090909,17.7543046077077,41.085,-0.0845392825211893,0.310606060606061,0.31124650971607,-0.00064044911000901,740.004,3277,3.86695148001221,1.20109856576137,2.66585291425084,0.159090909090909,17.7543046077077,1.20357515139519,-0.00247658563382184,740.004,318,322,"Guzan 2019"
"Tyler","Miller","Tyler Miller","SEA",2017,95,8,3,5,0.125,16.6243082101584,3.077,-0.0765731644451371,0.375,0.384571645555642,-0.00957164555564214,65.6334,95,8.08421052631579,3.03157894736842,5.05263157894737,0.125,16.6243082101584,3.10895814512351,-0.0773791977550859,65.6334,66,50,"Miller 2017"
"Jeff","Attinella","Jeff Attinella","RSL",2013,NA,23,9,14,0.391304347826087,14.1245417735652,9.072,-0.0721035960905657,0.391304347826087,0.394439286786546,-0.00313493896045938,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,134,"Attinella 2013"
"Jimmy","Maurer","Jimmy Maurer","FCD",2019,196,12,4,8,0.0833333333333333,15.4460164826462,4.071,-0.0706340265089638,0.333333333333333,0.33921950220908,-0.00588616887574699,127.5,196,5.87755102040816,1.95918367346939,3.91836734693878,0.0833333333333333,15.4460164826462,1.99377993135133,-0.0345962578819415,127.5,82,83,"Maurer 2019"
"Chris","Seitz","Chris Seitz","DCU",2019,97,3,1,2,0,28.8493125089852,1.062,-0.0622877735021279,0.333333333333333,0.354095924500709,-0.020762591167376,NA,97,2.96907216494845,0.989690721649485,1.97938144329897,0,28.8493125089852,1.05133635315675,-0.0616456315072606,NA,20,16,"Seitz 2019"
"Sean","Johnson","Sean Johnson","NYC",2018,3067,140,40,100,0.164285714285714,18.5090661375635,40.059,-0.0591033158000028,0.285714285714286,0.286136452255714,-0.000422166541428592,250.008,3067,4.38213237691555,1.25203782197587,3.13009455493968,0.164285714285714,18.5090661375635,1.25388781164552,-0.00184998966964469,250.008,309,317,"Johnson 2018"
"Travis","Worra","Travis Worra","DCU",2015,39,1,0,1,0,28.3824140093826,0.042,-0.0418390829746986,0,0.0418390829746986,-0.0418390829746986,50,39,2.46153846153846,0,2.46153846153846,0,28.3824140093826,0.10298851193772,-0.10298851193772,50,1,1,"Worra 2015"
"Chris","Seitz","Chris Seitz","FCD",2012,NA,15,5,10,0.133333333333333,17.7779101161333,5.009,-0.00870938832093882,0.333333333333333,0.333913959221396,-0.000580625888062588,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,89,"Seitz 2012"
"Sean","Johnson","Sean Johnson","CHI",2013,NA,131,38,93,0.190839694656489,18.1461508636031,38.004,-0.00367626425526143,0.290076335877863,0.290104398963781,-2.80630859180262e-05,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,292,"Johnson 2013"
"Alec","Kann","Alec Kann","ATL",2018,96,6,1,5,0.333333333333333,17.6749500147307,0.998,0.0023928130059898,0.166666666666667,0.166267864499002,0.000398802167664967,94.008,96,6,1,5,0.333333333333333,17.6749500147307,0.99760718699401,0.0023928130059898,94.008,19,31,"Kann 2018"
"Trevor","Spangenberg","Trevor Spangenberg","CHV",2014,NA,2,1,1,0,16.734845425,0.981,0.0194952431707135,0.5,0.490252378414643,0.00974762158535675,36.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,"Spangenberg 2014"
"Greg","Sutton","Greg Sutton","MTL",2012,NA,1,1,0,1,1.658945448,0.978,0.0218645456347683,1,0.978135454365232,0.0218645456347683,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,26,"Sutton 2012"
"Jon","Busch","Jon Busch","SJE",2012,NA,115,39,76,0.217391304347826,18.8140636605565,38.974,0.0262339805411804,0.339130434782609,0.338902313212685,0.000228121569923308,166.33733,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,304,"Busch 2012"
"Tyler","Miller","Tyler Miller","SEA",2016,96,4,2,2,0.5,13.4002051244867,1.973,0.0273593758120837,0.5,0.493160156046979,0.00683984395302092,62.508,96,4,2,2,0.5,13.4002051244867,1.97264062418792,0.0273593758120837,62.508,43,41,"Miller 2016"
"Clement","Diop","Clement Diop","MTL",2019,193,7,1,6,0,27.3234163514676,0.971,0.0292520808122825,0.142857142857143,0.138678274169674,0.00417886868746894,NA,193,3.48186528497409,0.49740932642487,2.98445595854922,0,27.3234163514676,0.482859068611507,0.0145502578133633,NA,14,25,"Diop 2019"
"Josh","Saunders","Josh Saunders","RSL",2013,NA,17,4,13,0.0588235294117647,22.2847007223529,3.969,0.0305989811191269,0.235294117647059,0.233494177581228,0.00179994006583099,95.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,79,"Saunders 2013"
"Alex","Bono","Alex Bono","TOR",2019,599,27,11,16,0.148148148148148,16.7382905491066,10.94,0.0597684637530007,0.407407407407407,0.405193760601741,0.00221364680566669,382,599,4.32721202003339,1.76293823038397,2.56427378964942,0.148148148148148,16.7382905491066,1.75335931131838,0.00957891906558942,382,151,144,"Bono 2019"
"Jake","Gleeson","Jake Gleeson","POR",2011,NA,18,6,12,0,21.4294470325,5.927,0.0727742430265557,0.333333333333333,0.329290319831858,0.00404301350147532,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,101,"Gleeson 2011"
"David","Ousted","David Ousted","VAN",2016,3148,157,52,105,0.152866242038217,17.4657742390563,51.9,0.100224137851017,0.331210191082803,0.330571820778019,0.000638370304783551,378.93333,3148,4.78780177890724,1.58576874205845,3.20203303684879,0.152866242038217,17.4657742390563,1.58271235157761,0.00305639048084424,378.93333,377,374,"Ousted 2016"
"John","McCarthy","John McCarthy","PHI",2016,94,5,2,3,0.4,16.9569874977839,1.877,0.123497640770756,0.4,0.375300471845849,0.0246995281541513,88.25,94,5.1063829787234,2.04255319148936,3.06382978723404,0.4,16.9569874977839,1.9164279413405,0.126125250148858,88.25,39,46,"McCarthy 2016"
"Eric","Kronberg","Eric Kronberg","SKC",2014,NA,67,22,45,0.0895522388059701,20.3705118883134,21.859,0.141179540946338,0.328358208955224,0.326251051627667,0.00210715732755729,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,210,"Kronberg 2014"
"Jimmy","Maurer","Jimmy Maurer","FCD",2018,1259,48,15,33,0.104166666666667,19.7816888018291,14.85,0.149537161919127,0.3125,0.309384642460018,0.00311535753998181,122.5,1259,3.66004765687053,1.14376489277204,2.51628276409849,0.104166666666667,19.7816888018291,1.13236253570752,0.0114023570645244,122.5,178,176,"Maurer 2018"
"Brad","Knighton","Brad Knighton","NER",2017,572,31,11,20,0.258064516129032,16.0353930666263,10.846,0.153994198071094,0.354838709677419,0.349871154900932,0.00496755477648692,100.91025,572,5.2027972027972,1.84615384615385,3.35664335664336,0.258064516129032,16.0353930666263,1.820308666058,0.025845180095848,100.91025,150,148,"Knighton 2017"
"Chase","Harrison","Chase Harrison","PHI",2012,NA,3,1,2,0.333333333333333,13.5652416086667,0.838,0.162090734738089,0.333333333333333,0.279303088420637,0.0540302449126964,44.00004,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,32,"Harrison 2012"
"Evan","Bush","Evan Bush","MTL",2016,3102,153,52,101,0.209150326797386,18.0200460050195,51.825,0.175090736407908,0.339869281045752,0.338724897147661,0.0011443838980909,117.5,3102,4.73500967117988,1.60928433268859,3.1257253384913,0.209150326797386,18.0200460050195,1.60386566386359,0.00541866882500296,117.5,376,375,"Bush 2016"
"Tim","Melia","Tim Melia","CHV",2012,NA,13,4,9,0.0769230769230769,19.3069215423077,3.784,0.215583199850836,0.307692307692308,0.291108984626859,0.0165833230654489,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,72,"Melia 2012"
"Jeff","Attinella","Jeff Attinella","RSL",2016,388,13,5,8,0.0769230769230769,14.9604854647109,4.769,0.230726584484226,0.384615384615385,0.366867185808906,0.017748198806479,95.08333,388,3.21649484536082,1.23711340206186,1.97938144329897,0.0769230769230769,14.9604854647109,1.18002641208638,0.0570869899754787,95.08333,97,90,"Attinella 2016"
"Brian","Perk","Brian Perk","LAG",2014,NA,3,1,2,0,16.5583613966667,0.766,0.234241856314653,0.333333333333333,0.255252714561782,0.0780806187715509,63.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,19,"Perk 2014"
"Patrick","McLain","Patrick McLain","CHV",2013,NA,7,3,4,0.285714285714286,12.5063864718571,2.727,0.272828649115561,0.428571428571429,0.389595907269206,0.038975521302223,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,"McLain 2013"
"David","Ousted","David Ousted","CHI",2019,1347,53,20,33,0.207547169811321,15.6834615814682,19.724,0.276081643898594,0.377358490566038,0.37214940294531,0.0052090876207282,361.136,1347,3.77728285077951,1.42538975501114,2.35189309576837,0.207547169811321,15.6834615814682,1.40571355767315,0.0196761973379845,361.136,204,204,"Ousted 2019"
"David","Bingham","David Bingham","SJE",2011,NA,5,1,4,0.4,18.231664118,0.713,0.287046806764083,0.2,0.142590638647183,0.0574093613528165,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,23,"Bingham 2011"
"Julio","Cesar","Julio Cesar","TOR",2014,NA,27,9,18,0.148148148148148,18.8817073596667,8.709,0.291075108403398,0.333333333333333,0.322552773762837,0.0107805595704962,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,131,"Cesar 2014"
"Zac","MacMath","Zac MacMath","PHI",2014,NA,121,44,77,0.107438016528926,18.9186618130744,43.708,0.291976924567319,0.363636363636364,0.361223331201923,0.00241303243444065,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,343,"MacMath 2014"
"Tyler","Deric","Tyler Deric","HOU",2012,NA,9,2,7,0.111111111111111,18.49586508,1.692,0.30801769675878,0.222222222222222,0.187998033693469,0.0342241885287533,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,47,"Deric 2012"
"Eric","Kronberg","Eric Kronberg","MTL",2016,140,3,1,2,0,23.3809003248378,0.688,0.31208985737304,0.333333333333333,0.229303380875653,0.10402995245768,145.2,140,2.05714285714286,0.685714285714286,1.37142857142857,0,23.3809003248378,0.471709812087058,0.214004473627227,145.2,6,22,"Kronberg 2016"
"Bouna","Coundoul","Bouna Coundoul","NYRB",2011,NA,50,13,37,0.2,21.4684691701,12.687,0.313381731838479,0.26,0.25373236536323,0.00626763463676957,179.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,162,"Coundoul 2011"
"Bobby","Shuttleworth","Bobby Shuttleworth","NER",2015,2946,119,41,78,0.117647058823529,18.7942049042448,40.682,0.317760476518547,0.34453781512605,0.341867559020853,0.00267025610519787,111.25,2946,3.87780040733198,1.33604887983707,2.54175152749491,0.117647058823529,18.7942049042448,1.32569415962465,0.010354720212417,111.25,314,321,"Shuttleworth 2015"
"Kyle","Reynish","Kyle Reynish","CHI",2014,NA,4,2,2,0.25,13.02873473,1.624,0.376361188948819,0.5,0.405909702762795,0.0940902972372046,78.31667,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,"Reynish 2014"
"Bryan","Meredith","Bryan Meredith","SEA",2018,95,6,3,3,0.666666666666667,14.2464857214051,2.606,0.393663283246771,0.5,0.434389452792205,0.0656105472077952,67.5,95,6.06315789473684,3.03157894736842,3.03157894736842,0.666666666666667,14.2464857214051,2.63377184008747,0.397807107280948,67.5,59,53,"Meredith 2018"
"Spencer","Richey","Spencer Richey","VAN",2017,93,3,2,1,0.333333333333333,16.3474776341795,1.6,0.400346985666926,0.666666666666667,0.533217671444358,0.133448995222308,65.004,93,3.09677419354839,2.06451612903226,1.03225806451613,0.333333333333333,16.3474776341795,1.65125472447285,0.413261404559407,65.004,33,44,"Richey 2017"
"Tim","Howard","Tim Howard","COL",2019,2336,114,41,73,0.149122807017544,16.2127353521016,40.595,0.404699964734184,0.359649122807018,0.356099123116367,0.00354999969065073,2475,2336,4.68493150684932,1.68493150684932,3,0.149122807017544,16.2127353521016,1.66830000144928,0.0166315054000349,2475,311,324,"Howard 2019"
"Steward","Ceus","Steward Ceus","COL",2012,NA,5,1,4,0.4,16.824496062,0.593,0.406864931701289,0.2,0.118627013659742,0.0813729863402578,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,"Ceus 2012"
"Matt","Lampson","Matt Lampson","LAG",2019,96,7,4,3,0.285714285714286,10.9344970802631,3.579,0.421220206656441,0.571428571428571,0.511254256191937,0.0601743152366344,NA,96,7,4,3,0.285714285714286,10.9344970802631,3.57877979334356,0.421220206656441,NA,76,76,"Lampson 2019"
"Rais","M'bolhi","Rais M'bolhi","PHI",2015,484,19,9,10,0.315789473684211,18.9420619884475,8.566,0.434230552286096,0.473684210526316,0.450829970932311,0.022854239594005,NA,484,3.76859504132231,1.78512396694215,1.98347107438017,0.315789473684211,18.9420619884475,1.69899559293499,0.0861283740071595,NA,135,133,"M'bolhi 2015"
"Pablo","Sisniega","Pablo Sisniega","LAFC",2019,569,25,8,17,0.16,16.9039630801427,7.535,0.465054267827816,0.32,0.301397829286887,0.0186021707131126,105,569,4.21792618629174,1.34973637961336,2.86818980667838,0.16,16.9039630801427,1.27127379664065,0.0784625829727071,105,125,128,"Sisniega 2019"
