"Team","N","TotalGuar","AvgGuar","MedGuar","StdDevGuar"
"TOR",29,22193619,765297.206896552,138500,1710041.71962937
"LAG",30,18514139,617137.966666667,187500,1336325.82687118
"CHI",28,16907430,603836.785714286,135000,1128979.12734205
"LAFC",29,14439693,497920.448275862,165000,1162725.30256956
"SKC",28,13013585,464770.892857143,311866.5,465402.336091746
"ATL",32,12670769,395961.53125,183625,587131.442395993
"SEA",26,12621163,485429.346153846,347916.5,578421.106033031
"MTL",28,12139404,433550.142857143,144892,853320.152820461
"POR",28,11786333,420940.464285714,178627,528324.946180781
"NONE",8,11467365,1433420.625,381620,2206593.67846273
"ORL",29,11359974,391723.24137931,150000,533874.218646159
"RSL",30,10832522,361084.066666667,187416.5,436056.201091409
"DCU",26,10571569,406598.807692308,167500,675071.75565328
"CLB",29,10400782,358647.655172414,2e+05,374040.136286323
"CIN",32,10312162,322255.0625,201250,420716.315895375
"NYC",26,10051253,386586.653846154,237403,432957.09237484
"MIN",26,9180564,353098.615384615,245939.5,370523.083428072
"SJE",29,9161431,315911.413793103,218438,321213.884306583
"PHI",26,8959605,344600.192307692,174333.5,479567.492748124
"COL",29,8937176,308178.482758621,138707,463413.019493535
"NER",26,8930469,343479.576923077,179104.5,468212.501901619
"FCD",29,8730844,301063.586206897,179000,267407.542676973
"NYRB",29,8301854,286270.827586207,127750,324162.55589255
"VAN",29,8000713,275886.655172414,180000,255394.812296328
"HOU",26,7665634,294832.076923077,177916.5,311405.545814062
"NSH",2,172296,86148,86148,7745.64768111744
